acc,accuracy,average_response_time,avg_rt,background,bidi,browser_codename,browser_name,browser_version,canvas_backend,clock_backend,color_backend,compensation,congruencia,coordinates,correct,correct_resp_log,correct_resposta_curto,correct_resposta_long,correct_resposta_simples,count_bemvindo,count_bissec_temp,count_espera0,count_espera0_log,count_espera_curto,count_espera_long,count_estimulo,count_estimulo_curto,count_estimulo_log,count_estimulo_long,count_fim_log,count_fix,count_fix_curto,count_fix_log,count_fix_long,count_loop_curto,count_loop_log_1,count_loop_long,count_loop_simples,count_new_feedback_2,count_new_feedback_3,count_new_logger,count_new_logger_1,count_new_reset_feedback,count_new_sampler,count_new_sampler_1,count_new_sampler_2,count_new_sampler_3,count_new_sketchpad_6,count_osweb,count_pausa,count_resp_log,count_resposta_curto,count_resposta_long,count_resposta_simples,count_save,count_save2,count_seq_curto,count_seq_log_1,count_seq_long,count_seq_simples,date_startdate,date_startdateUTC,date_starttime,datetime,description,disable_garbage_collection,experiment_debug,experiment_parameters,experiment_path,experiment_pilot,experiment_taskname,experiment_taskversion,font_bold,font_family,font_italic,font_size,font_underline,foreground,form_clicks,fullscreen,height,jatosStudyResultId,jatosVersion,keyboard_backend,mouse_backend,opensesame_codename,opensesame_version,queryParams_batchId,queryParams_personalMultipleWorkerId,repeat_cycle,resp_corr,resp_corr_log,response,response_bemvindo,response_new_feedback_2,response_new_feedback_3,response_new_sampler,response_new_sampler_1,response_new_sampler_2,response_new_sampler_3,response_new_sketchpad_6,response_pausa,response_resp_log,response_resposta_curto,response_resposta_long,response_resposta_simples,response_time,response_time_bemvindo,response_time_new_feedback_2,response_time_new_feedback_3,response_time_new_sampler,response_time_new_sampler_1,response_time_new_sampler_2,response_time_new_sampler_3,response_time_new_sketchpad_6,response_time_pausa,response_time_resp_log,response_time_resposta_curto,response_time_resposta_long,response_time_resposta_simples,round_decimals,sampler_backend,screen_availableHeight,screen_availableWidth,screen_colorDepth,screen_height,screen_pixelDepth,screen_screenX,screen_screenY,screen_width,sessionid,sound_buf_size,sound_channels,sound_freq,sound_sample_size,start,subject_nr,subject_parity,system_os,tempo,tempo_log,time_bemvindo,time_espera0,time_espera0_log,time_espera_curto,time_espera_long,time_estimulo,time_estimulo_curto,time_estimulo_log,time_estimulo_long,time_fix,time_fix_curto,time_fix_log,time_fix_long,time_loop_curto,time_loop_log_1,time_loop_long,time_loop_simples,time_new_feedback_2,time_new_feedback_3,time_new_logger,time_new_logger_1,time_new_sampler,time_new_sampler_1,time_new_sampler_2,time_new_sampler_3,time_new_sketchpad_6,time_pausa,time_resp_log,time_resposta_curto,time_resposta_long,time_resposta_simples,time_save,time_save2,title,total_correct,total_response_time,total_responses,uniform_coordinates,width
100,100,350,350,black,no,Mozilla,Netscape,"5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/92.0.4515.131 Safari/537.36 Edg/92.0.902.73",psycho,psycho,psycho,0,curto,uniform,1,,1,1,1,0,0,0,,4,4,0,4,,4,0,0,4,,4,0,0,0,0,0,0,4,4,,0,,4,4,0,0,,,4,4,0,0,,4,,4,0,15-07-21,16-07-21,21:50:29,Sun Aug 15 2021 21:50:29 GMT-0300 (Horário Padrão de Brasília),The main experiment item,yes,0,0,/Users/marcelarruda/Documents/OpenSesame,0,0,0,no,mono,no,18,no,white,no,no,768,39690,3.6.1,psycho,psycho,osweb,1.3.13,2100,42485,0,q,,None,lalt,space,space,None,,None,None,lalt,,,q,p,q,501,2192,3435,2984,501,,517,500,2550,,,192,196,350,2,psycho,1160,1920,24,1200,24,0,0,1920,1629075040449,1024,2,48000,-16,bissec_temp,0,even,Win32,500,,78,48877,,23972,44123,48360,23455,,42121,47858,22944,,41606,78,78,78,78,24696,44846,24689,44839,49227,,24172,44323,2271,,,23972,44123,48877,49739,,New experiment,1,350,1,yes,1366
100,100,363,363,black,no,Mozilla,Netscape,"5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/92.0.4515.131 Safari/537.36 Edg/92.0.902.73",psycho,psycho,psycho,0,curto,uniform,1,,1,1,1,0,0,1,,4,4,1,4,,4,0,1,4,,4,0,0,0,0,0,0,4,4,,1,,4,4,0,0,,,4,4,1,1,,4,,4,1,15-07-21,16-07-21,21:50:29,Sun Aug 15 2021 21:50:29 GMT-0300 (Horário Padrão de Brasília),The main experiment item,yes,0,0,/Users/marcelarruda/Documents/OpenSesame,0,0,0,no,mono,no,18,no,white,no,no,768,39690,3.6.1,psycho,psycho,osweb,1.3.13,2100,42485,0,q,,None,lalt,space,space,None,,None,None,lalt,,,q,p,q,501,2192,3435,2984,501,,517,500,2550,,,192,196,375,2,psycho,1160,1920,24,1200,24,0,0,1920,1629075040449,1024,2,48000,-16,bissec_temp,0,even,Win32,500,,78,50779,,23972,44123,50262,23455,,42121,49751,22944,,41606,78,78,78,78,24696,44846,24689,44839,51162,,24172,44323,2271,,,23972,44123,50779,51679,,New experiment,2,725,2,yes,1366
100,100,317,317,black,no,Mozilla,Netscape,"5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/92.0.4515.131 Safari/537.36 Edg/92.0.902.73",psycho,psycho,psycho,0,longo,uniform,1,,1,1,1,0,0,2,,4,4,2,4,,4,0,2,4,,4,0,0,0,0,0,0,4,4,,2,,4,4,0,0,,,4,4,2,2,,4,,4,2,15-07-21,16-07-21,21:50:29,Sun Aug 15 2021 21:50:29 GMT-0300 (Horário Padrão de Brasília),The main experiment item,yes,0,0,/Users/marcelarruda/Documents/OpenSesame,0,0,0,no,mono,no,18,no,white,no,no,768,39690,3.6.1,psycho,psycho,osweb,1.3.13,2100,42485,0,p,,None,lalt,space,space,None,,None,None,lalt,,,q,p,p,517,2192,3435,2984,517,,517,500,2550,,,192,196,225,2,psycho,1160,1920,24,1200,24,0,0,1920,1629075040449,1024,2,48000,-16,bissec_temp,0,even,Win32,2000,,78,54199,,23972,44123,52197,23455,,42121,51688,22944,,41606,78,78,78,78,24696,44846,24689,44839,54432,,24172,44323,2271,,,23972,44123,54199,54950,,New experiment,3,950,3,yes,1366
100,100,334,334,black,no,Mozilla,Netscape,"5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/92.0.4515.131 Safari/537.36 Edg/92.0.902.73",psycho,psycho,psycho,0,curto,uniform,1,,1,1,1,0,0,3,,4,4,3,4,,4,0,3,4,,4,0,0,0,0,0,0,4,4,,3,,4,4,0,0,,,4,4,3,3,,4,,4,3,15-07-21,16-07-21,21:50:29,Sun Aug 15 2021 21:50:29 GMT-0300 (Horário Padrão de Brasília),The main experiment item,yes,0,0,/Users/marcelarruda/Documents/OpenSesame,0,0,0,no,mono,no,18,no,white,no,no,768,39690,3.6.1,psycho,psycho,osweb,1.3.13,2100,42485,0,q,,None,lalt,space,space,None,,None,None,lalt,,,q,p,q,500,2192,3435,2984,500,,517,500,2550,,,192,196,386,2,psycho,1160,1920,24,1200,24,0,0,1920,1629075040449,1024,2,48000,-16,bissec_temp,0,even,Win32,500,,78,55984,,23972,44123,55468,23455,,42121,54958,22944,,41606,78,78,78,78,24696,44846,24689,44839,56384,,24172,44323,2271,,,23972,44123,55984,56899,,New experiment,4,1336,4,yes,1366
100,100,341,341,black,no,Mozilla,Netscape,"5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/92.0.4515.131 Safari/537.36 Edg/92.0.902.73",psycho,psycho,psycho,0,longo,uniform,1,,1,1,1,0,0,4,,4,4,4,4,,4,0,4,4,,4,0,0,0,0,0,0,4,4,,4,,4,4,0,0,,,4,4,4,4,,4,,4,4,15-07-21,16-07-21,21:50:29,Sun Aug 15 2021 21:50:29 GMT-0300 (Horário Padrão de Brasília),The main experiment item,yes,0,0,/Users/marcelarruda/Documents/OpenSesame,0,0,0,no,mono,no,18,no,white,no,no,768,39690,3.6.1,psycho,psycho,osweb,1.3.13,2100,42485,0,p,,None,lalt,space,space,None,,None,None,lalt,,,q,p,p,501,2192,3435,2984,501,,517,500,2550,,,192,196,367,2,psycho,1160,1920,24,1200,24,0,0,1920,1629075040449,1024,2,48000,-16,bissec_temp,0,even,Win32,2000,,78,59420,,23972,44123,57419,23455,,42121,56908,22944,,41606,78,78,78,78,24696,44846,24689,44839,59803,,24172,44323,2271,,,23972,44123,59420,60319,,New experiment,5,1703,5,yes,1366
100,100,325,325,black,no,Mozilla,Netscape,"5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/92.0.4515.131 Safari/537.36 Edg/92.0.902.73",psycho,psycho,psycho,0,longo,uniform,1,,1,1,1,0,0,5,,4,4,5,4,,4,0,5,4,,4,0,0,0,0,0,0,4,4,,5,,4,4,0,0,,,4,4,5,5,,4,,4,5,15-07-21,16-07-21,21:50:29,Sun Aug 15 2021 21:50:29 GMT-0300 (Horário Padrão de Brasília),The main experiment item,yes,0,0,/Users/marcelarruda/Documents/OpenSesame,0,0,0,no,mono,no,18,no,white,no,no,768,39690,3.6.1,psycho,psycho,osweb,1.3.13,2100,42485,0,p,,None,lalt,space,space,None,,None,None,lalt,,,q,p,p,517,2192,3435,2984,517,,517,500,2550,,,192,196,244,2,psycho,1160,1920,24,1200,24,0,0,1920,1629075040449,1024,2,48000,-16,bissec_temp,0,even,Win32,2000,,78,62840,,23972,44123,60838,23455,,42121,60329,22944,,41606,78,78,78,78,24696,44846,24689,44839,63090,,24172,44323,2271,,,23972,44123,62840,63609,,New experiment,6,1947,6,yes,1366
100,100,314,314,black,no,Mozilla,Netscape,"5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/92.0.4515.131 Safari/537.36 Edg/92.0.902.73",psycho,psycho,psycho,0,longo,uniform,1,,1,1,1,0,0,6,,4,4,6,4,,4,0,6,4,,4,0,0,0,0,0,0,4,4,,6,,4,4,0,0,,,4,4,6,6,,4,,4,6,15-07-21,16-07-21,21:50:29,Sun Aug 15 2021 21:50:29 GMT-0300 (Horário Padrão de Brasília),The main experiment item,yes,0,0,/Users/marcelarruda/Documents/OpenSesame,0,0,0,no,mono,no,18,no,white,no,no,768,39690,3.6.1,psycho,psycho,osweb,1.3.13,2100,42485,0,p,,None,lalt,space,space,None,,None,None,lalt,,,q,p,p,500,2192,3435,2984,500,,517,500,2550,,,192,196,253,2,psycho,1160,1920,24,1200,24,0,0,1920,1629075040449,1024,2,48000,-16,bissec_temp,0,even,Win32,2000,,78,66127,,23972,44123,64124,23455,,42121,63617,22944,,41606,78,78,78,78,24696,44846,24689,44839,66393,,24172,44323,2271,,,23972,44123,66127,66910,,New experiment,7,2200,7,yes,1366
100,100,304,304,black,no,Mozilla,Netscape,"5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/92.0.4515.131 Safari/537.36 Edg/92.0.902.73",psycho,psycho,psycho,0,longo,uniform,1,,1,1,1,0,0,7,,4,4,7,4,,4,0,7,4,,4,0,0,0,0,0,0,4,4,,7,,4,4,0,0,,,4,4,7,7,,4,,4,7,15-07-21,16-07-21,21:50:29,Sun Aug 15 2021 21:50:29 GMT-0300 (Horário Padrão de Brasília),The main experiment item,yes,0,0,/Users/marcelarruda/Documents/OpenSesame,0,0,0,no,mono,no,18,no,white,no,no,768,39690,3.6.1,psycho,psycho,osweb,1.3.13,2100,42485,0,p,,None,lalt,space,space,None,,None,None,lalt,,,q,p,p,518,2192,3435,2984,518,,517,500,2550,,,192,196,230,2,psycho,1160,1920,24,1200,24,0,0,1920,1629075040449,1024,2,48000,-16,bissec_temp,0,even,Win32,2000,,78,69429,,23972,44123,67427,23455,,42121,66919,22944,,41606,78,78,78,78,24696,44846,24689,44839,69662,,24172,44323,2271,,,23972,44123,69429,70180,,New experiment,8,2430,8,yes,1366
100,100,300,300,black,no,Mozilla,Netscape,"5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/92.0.4515.131 Safari/537.36 Edg/92.0.902.73",psycho,psycho,psycho,0,longo,uniform,1,,1,1,1,0,0,8,,4,4,8,4,,4,0,8,4,,4,0,0,0,0,0,0,4,4,,8,,4,4,0,0,,,4,4,8,8,,4,,4,8,15-07-21,16-07-21,21:50:29,Sun Aug 15 2021 21:50:29 GMT-0300 (Horário Padrão de Brasília),The main experiment item,yes,0,0,/Users/marcelarruda/Documents/OpenSesame,0,0,0,no,mono,no,18,no,white,no,no,768,39690,3.6.1,psycho,psycho,osweb,1.3.13,2100,42485,0,p,,None,lalt,space,space,None,,None,None,lalt,,,q,p,p,517,2192,3435,2984,517,,517,500,2550,,,192,196,274,2,psycho,1160,1920,24,1200,24,0,0,1920,1629075040449,1024,2,48000,-16,bissec_temp,0,even,Win32,2000,,78,72698,,23972,44123,70697,23455,,42121,70189,22944,,41606,78,78,78,78,24696,44846,24689,44839,72982,,24172,44323,2271,,,23972,44123,72698,73500,,New experiment,9,2704,9,yes,1366
100,100,296,296,black,no,Mozilla,Netscape,"5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/92.0.4515.131 Safari/537.36 Edg/92.0.902.73",psycho,psycho,psycho,0,longo,uniform,1,,1,1,1,0,0,9,,4,4,9,4,,4,0,9,4,,4,0,0,0,0,0,0,4,4,,9,,4,4,0,0,,,4,4,9,9,,4,,4,9,15-07-21,16-07-21,21:50:29,Sun Aug 15 2021 21:50:29 GMT-0300 (Horário Padrão de Brasília),The main experiment item,yes,0,0,/Users/marcelarruda/Documents/OpenSesame,0,0,0,no,mono,no,18,no,white,no,no,768,39690,3.6.1,psycho,psycho,osweb,1.3.13,2100,42485,0,p,,None,lalt,space,space,None,,None,None,lalt,,,q,p,p,500,2192,3435,2984,500,,517,500,2550,,,192,196,253,2,psycho,1160,1920,24,1200,24,0,0,1920,1629075040449,1024,2,48000,-16,bissec_temp,0,even,Win32,2000,,78,76018,,23972,44123,74016,23455,,42121,73511,22944,,41606,78,78,78,78,24696,44846,24689,44839,76285,,24172,44323,2271,,,23972,44123,76018,76799,,New experiment,10,2957,10,yes,1366
